run_accession,PCo1,PCo2,PCo3,site,season,lat,urban
SRR28636381,0.07694643911460829,-0.010439559739436586,0.018173898982707885,Tinsukia,winter,27.57,0
SRR23961995,-0.1010060980329549,0.0144978247849634,-0.0005187834642041385,Sadiya,post_monsoon,27.49,0
SRR28636387,0.0367058423602362,-0.011152568820081695,-0.02474034727464852,Sadiya,winter,27.49,0
SRR23872597,-0.02314856162739054,0.04707358430001563,-0.0215690324505236,Dibrugarh,post_monsoon,27.29,0
SRR28636386,0.026996638543163805,0.012551654601617583,-0.009466221665383311,Dibrugarh,winter,27.29,0
SRR28925923,0.1051249225899998,-0.009710206201620105,-0.020506717258459286,Dibrugarh,pre_monsoon,27.29,0
SRR23872596,0.044498432628179506,0.04865131004319941,0.01648304097521148,Tezpur,post_monsoon,26.36,0
SRR28636385,-0.1482092765659303,0.011526633229542782,0.01772418515066124,Tezpur,winter,26.36,0
SRR28925922,0.008379300420006446,-0.03228018677191829,-0.04080153907285453,Tezpur,pre_monsoon,26.36,0
SRR23872595,0.08225924649714544,0.00931157459753866,0.02646869641976148,Morigaon,post_monsoon,26.17,0
SRR28636384,-0.08148659844201359,0.023026616089563516,-0.02879792897274342,Morigaon,winter,26.17,0
SRR28956463,-0.03906711784193076,-0.04717191246627041,-0.00014276737500091216,Morigaon,pre_monsoon,26.17,0
SRR28636380,0.05504489202385635,-0.00623930760252344,0.015444903160380347,Palashbari,winter,26.12,0
SRR23872594,0.038308773642224625,0.03465688373039718,0.014401108676369926,Uzanbazar,post_monsoon,26.11,1
SRR28636383,-0.03517918228232258,-0.04226468188613536,0.015389633316454942,Uzanbazar,winter,26.11,1
SRR28956462,-0.00647234656240288,0.00542886526095884,-0.007014132543202143,Uzanbazar,pre_monsoon,26.11,1
SRR23872593,0.016480497467555182,-0.021640146944516176,-0.0024102862617859,Dhubri,post_monsoon,26.01,0
SRR28636382,-0.05617580393203007,-0.025826376205295,0.03188228965725847,Dhubri,winter,26.01,0
