run_accession,PCo1,PCo2,PCo3,site,season,lat,urban
SRR28636381,-0.07824290551100714,0.0008734029918508026,0.018057288930113446,Tinsukia,winter,27.57,0
SRR23961995,0.042616792962362086,0.08638270777532557,-0.014848334070457997,Sadiya,post_monsoon,27.49,0
SRR28636387,-0.035923835312913904,0.02064244391784956,-0.11327627715743784,Sadiya,winter,27.49,0
SRR23872597,-0.041826320379146,0.042636153838434235,0.018388495108465106,Dibrugarh,post_monsoon,27.29,0
SRR28636386,-0.011578697243414041,-0.00530537500416303,-0.15596037054496115,Dibrugarh,winter,27.29,0
SRR28925923,-0.04405944402309104,-0.20123455216837177,-0.03485707450771924,Dibrugarh,pre_monsoon,27.29,0
SRR23872596,-0.10282983488000506,0.008068227079512706,0.040809171758069133,Tezpur,post_monsoon,26.36,0
SRR28636385,0.20387469056968766,0.06760621468442778,0.03459118916384042,Tezpur,winter,26.36,0
SRR28925922,0.05024346328403355,-0.12481484049269352,0.04574407823352817,Tezpur,pre_monsoon,26.36,0
SRR23872595,-0.11907520280447559,-0.008700376214793849,0.05980389151536113,Morigaon,post_monsoon,26.17,0
SRR28636384,0.17830819174948984,-0.040253957872045,-0.03160001886322907,Morigaon,winter,26.17,0
SRR28956463,0.03634773969024517,0.05938815436925433,-0.01422629211493106,Morigaon,pre_monsoon,26.17,0
SRR28636380,-0.08137138978078924,0.03384562599688858,0.019061192524743795,Palashbari,winter,26.12,0
SRR23872594,-0.05946328301464292,0.016941917383846736,0.04173337827681205,Uzanbazar,post_monsoon,26.11,1
SRR28636383,0.030638237683222817,0.07730910729726254,0.05540184554693858,Uzanbazar,winter,26.11,1
SRR28956462,-0.027665918546268382,0.044020029528796266,-0.06576597287923179,Uzanbazar,pre_monsoon,26.11,1
SRR23872593,-0.04090319642688521,0.01617300196517379,0.04050729053803243,Dhubri,post_monsoon,26.01,0
SRR28636382,0.1009109119835971,-0.09357788507655528,0.05643651854206401,Dhubri,winter,26.01,0
