run_accession,AlkB,Cutinase_like,MHETase_like,PETase_like,Polyesterase_like
SRR28636381,13602,13051,1717,139,0
SRR23961995,8088,10776,880,49,0
SRR28636387,11909,13238,524,59,0
SRR23872597,10828,10766,1079,94,0
SRR28636386,12016,12485,597,50,1
SRR28925923,15192,14015,806,64,0
SRR23872596,13357,11724,1228,94,0
SRR28636385,5843,11126,757,81,0
SRR28925922,10519,13788,876,43,1
SRR23872595,14626,12603,1419,109,0
SRR28636384,9040,10471,660,41,0
SRR28956463,8652,13058,1056,77,0
SRR28636380,12513,12826,2000,85,0
SRR23872594,12854,11939,1222,106,0
SRR28636383,8736,12947,1311,93,1
SRR28956462,10646,12261,970,93,0
SRR23872593,10848,13048,1529,107,0
SRR28636382,8171,12433,1203,82,0
