run_accession,PCo1,PCo2,PCo3,site,season,lat,urban
SRR28636381,0.2504125244425091,-0.06481770067447072,-0.008913257743583461,Tinsukia,winter,27.57,0
SRR23961995,-0.13324439054747372,-0.09686191996080448,0.005274585838384859,Sadiya,post_monsoon,27.49,0
SRR28636387,0.29079802785082,-0.04203630624410502,-0.013785475319366278,Sadiya,winter,27.49,0
SRR23872597,-0.15157588731715033,-0.087395926833418,0.007298786628126879,Dibrugarh,post_monsoon,27.29,0
SRR28636386,0.2768790941327655,-0.04913976547499696,-0.010670221648933578,Dibrugarh,winter,27.29,0
SRR28925923,-0.34674779297473757,0.11558840414105208,-0.0060287209618024844,Dibrugarh,pre_monsoon,27.29,0
SRR23872596,-0.26980056780863976,0.007504264480898739,-0.05321007454010101,Tezpur,post_monsoon,26.36,0
SRR28636385,0.414656854721916,0.1466111525206313,0.018455903520309,Tezpur,winter,26.36,0
SRR28925922,-0.2658424792889008,0.00017600236312662342,0.05492318048821491,Tezpur,pre_monsoon,26.36,0
SRR23872595,-0.31523101497188644,0.06165427285600751,-0.03614761677058131,Morigaon,post_monsoon,26.17,0
SRR28636384,0.3603894017457457,0.04284410931126841,-0.0018508838877961185,Morigaon,winter,26.17,0
SRR28956463,-0.23864362096127456,-0.027958546132718365,0.06061238360640317,Morigaon,pre_monsoon,26.17,0
SRR28636380,0.26091023146912384,-0.05777870653399397,-0.00649349056816868,Palashbari,winter,26.12,0
SRR23872594,-0.2490147173255823,-0.0142877888803932,-0.04153732374603994,Uzanbazar,post_monsoon,26.11,1
SRR28636383,0.3414586889929871,0.02676300138228483,0.004289310972945742,Uzanbazar,winter,26.11,1
SRR28956462,-0.2548849069847374,-0.011009293682480126,0.0023065227260936905,Uzanbazar,pre_monsoon,26.11,1
SRR23872593,-0.30105642646393754,0.035487520025460746,0.02011434700478422,Dhubri,post_monsoon,26.01,0
SRR28636382,0.3305369812884531,0.014657227336651245,0.005362044401111337,Dhubri,winter,26.01,0
