run_accession,AlkB,Cutinase_like,MHETase_like,PETase_like
SRR28636381,2086,1584,340,18
SRR23961995,4228,4414,468,12
SRR28636387,1909,1596,89,4
SRR23872597,4987,4063,436,22
SRR28636386,1997,1626,118,4
SRR28925923,9683,7180,534,35
SRR23872596,7268,5106,617,34
SRR28636385,780,1354,139,6
SRR28925922,5929,6499,434,8
SRR23872595,8522,5818,801,53
SRR28636384,1440,1341,124,7
SRR28956463,5120,6124,644,33
SRR28636380,1979,1601,336,9
SRR23872594,6688,4891,602,38
SRR28636383,1255,1593,238,17
SRR28956462,6197,5572,572,45
SRR23872593,6870,6507,954,44
SRR28636382,1333,1621,250,11
