genus1	genus2	similarity
Acaromyces	Alkalilimnicola	1.0
Acaromyces	Alkalispirochaeta	1.0
Acaromyces	Amycolatopsis	0.7071067811865476
Acaromyces	Archangium	1.0
Acaromyces	Aspergillus	1.0
Acaromyces	Beauveria	1.0
Acaromyces	Botryosphaeria	1.0
Acaromyces	Bremerella	1.0
Acaromyces	Caulobacter	1.0
Acaromyces	Cellulomonas	1.0
Acaromyces	Cephalotrichum	1.0
Acaromyces	Ceratocystis	1.0
Acaromyces	Chitinophaga	1.0
Acaromyces	Chloracidobacterium	1.0
Acaromyces	Choanephora	1.0
Acaromyces	Colletotrichum	1.0
Acaromyces	Congregibacter	1.0
Acaromyces	Cordyceps	1.0
Acaromyces	Curvularia	1.0
Acaromyces	Dulcicalothrix	1.0
Acaromyces	Echinicola	0.7071067811865476
Acaromyces	Eiseniibacteriota	1.0
Acaromyces	Eutypa	1.0
Acaromyces	Exophiala	1.0
Acaromyces	Flagellimonas	1.0
Acaromyces	Frankia	1.0
Acaromyces	Fusarium	1.0
Acaromyces	Gemmatimonas	1.0
Acaromyces	Gnomoniopsis	1.0
Acaromyces	Haliea	1.0
Acaromyces	Haloechinothrix	1.0
Acaromyces	Hazenella	1.0
Acaromyces	Heterostelium	0.9943849008380186
Acaromyces	Ideonella	0.8912197993467486
Acaromyces	Kitasatospora	0.7758723749819598
Acaromyces	Lunatimonas	1.0
Acaromyces	Macrophomina	1.0
Acaromyces	Metarhizium	1.0
Acaromyces	Microbacterium	0.7071067811865476
Acaromyces	Micromonospora	0.7071067811865476
Acaromyces	Microvirga	0.7071067811865476
Acaromyces	Moelleriella	1.0
Acaromyces	Moniliophthora	1.0
Acaromyces	Mycolicibacterium	0.8236764700073154
Acaromyces	Neobodo	1.0
Acaromyces	Nocardioides	0.9753128779879184
Acaromyces	OM182	1.0
Acaromyces	Ochrobactrum	1.0
Acaromyces	Ophiocordyceps	1.0
Acaromyces	Paraglaciecola	1.0
Acaromyces	Parapedobacter	1.0
Acaromyces	Parvicella	1.0
Acaromyces	Pelagomonas	1.0
Acaromyces	Penicillium	1.0
Acaromyces	Phaeoacremonium	1.0
Acaromyces	Pseudoduganella	1.0
Acaromyces	Pseudomonas	0.8378656810137066
Acaromyces	Pseudopithomyces	1.0
Acaromyces	Pyrenophora	1.0
Acaromyces	Raineyella	1.0
Acaromyces	Ralstonia	0.6951653759842311
Acaromyces	Rariglobus	1.0
Acaromyces	Rhabdobacter	1.0
Acaromyces	Rhizophlyctis	1.0
Acaromyces	Rhynchosporium	1.0
Acaromyces	Roseobacter	1.0
Acaromyces	Rothia	1.0
Acaromyces	SAR86	1.0
Acaromyces	Salinomyces	1.0
Acaromyces	Sediminihaliea	1.0
Acaromyces	Spirosoma	1.0
Acaromyces	Sporothrix	1.0
Acaromyces	Steroidobacter	1.0
Acaromyces	Thermogutta	1.0
Acaromyces	Thioclava	0.7071067811865476
Acaromyces	Trematosphaeria	1.0
Acaromyces	Venturia	1.0
Acaromyces	Verruconis	1.0
Acaromyces	Verticillium	1.0
Acaromyces	Xiashengella	1.0
Acaromyces	marine	1.0
Acetobacteraceae	Achromobacter	1.0
Acetobacteraceae	Acidovorax	1.0
Acetobacteraceae	Actinoplanes	1.0
Acetobacteraceae	Aeromicrobium	1.0
Acetobacteraceae	Agarivorans	1.0
Acetobacteraceae	Agrobacterium	1.0
Acetobacteraceae	Alcanivorax	1.0
Acetobacteraceae	Alicyclobacillus	1.0
Acetobacteraceae	Aliigemmobacter	1.0
Acetobacteraceae	Aliivibrio	1.0
Acetobacteraceae	Alkalisalibacterium	1.0
Acetobacteraceae	Amycolatopsis	0.7071067811865476
Acetobacteraceae	Ancylobacter	1.0
Acetobacteraceae	Aquabacterium	0.9217833643394758
Acetobacteraceae	Arenimonas	1.0
Acetobacteraceae	Arthrobacter	1.0
Acetobacteraceae	Aureimonas	1.0
Acetobacteraceae	Bacillus	1.0
Acetobacteraceae	Blastomonas	1.0
Acetobacteraceae	Bordetella	1.0
Acetobacteraceae	Bosea	1.0
Acetobacteraceae	Brachybacterium	1.0
Acetobacteraceae	Bradyrhizobium	0.9903555664581378
Acetobacteraceae	Brevibacillus	1.0
Acetobacteraceae	Brevibacterium	1.0
Acetobacteraceae	Brevundimonas	1.0
Acetobacteraceae	Burkholderia	0.9724500508595081
Acetobacteraceae	Caenimonas	1.0
Acetobacteraceae	Caenorhabditis	1.0
Acetobacteraceae	Caldovatus	1.0
Acetobacteraceae	Candidatus	0.914618385976984
Acetobacteraceae	Carbonactinospora	1.0
Acetobacteraceae	Cereibacter	1.0
Acetobacteraceae	Chelatococcus	1.0
Acetobacteraceae	Chitiniphilus	1.0
Acetobacteraceae	Clavibacter	1.0
Acetobacteraceae	Cognatilysobacter	1.0
Acetobacteraceae	Cohnella	1.0
Acetobacteraceae	Corynebacterium	0.9752314881306815
Acetobacteraceae	Crenothrix	1.0
Acetobacteraceae	Cupriavidus	0.7071067811865476
Acetobacteraceae	Curtobacterium	1.0
Acetobacteraceae	Curvibacter	1.0
Acetobacteraceae	Cypionkella	1.0
Acetobacteraceae	Delftia	1.0
Acetobacteraceae	Dietzia	1.0
Acetobacteraceae	Dyadobacter	1.0
Acetobacteraceae	Echinicola	0.7071067811865476
Acetobacteraceae	Ensifer	1.0
Acetobacteraceae	Enterobacter	1.0
Acetobacteraceae	Entotheonella	1.0
Acetobacteraceae	Fistulifera	1.0
Acetobacteraceae	Flavihumibacter	1.0
Acetobacteraceae	Flavisolibacter	1.0
Acetobacteraceae	Flavobacterium	1.0
Acetobacteraceae	Fluviicoccus	1.0
Acetobacteraceae	Fontibacter	1.0
Acetobacteraceae	Fulvivirga	1.0
Acetobacteraceae	Galdieria	1.0
Acetobacteraceae	Geopseudomonas	1.0
Acetobacteraceae	Glutamicibacter	1.0
Acetobacteraceae	Gordonia	0.9982427872688735
Acetobacteraceae	Haloarcula	1.0
Acetobacteraceae	Haloprofundus	1.0
Acetobacteraceae	Halopseudomonas	1.0
Acetobacteraceae	Halorubrum	1.0
Acetobacteraceae	Hansschlegelia	1.0
Acetobacteraceae	Hartmannibacter	1.0
Acetobacteraceae	Helianthus	1.0
Acetobacteraceae	Henriciella	1.0
Acetobacteraceae	Hydrocarboniclastica	1.0
Acetobacteraceae	Hydrogenophaga	1.0
Acetobacteraceae	Hymenobacter	1.0
Acetobacteraceae	Hyphomonas	1.0
Acetobacteraceae	Intrasporangium	1.0
Acetobacteraceae	Kibdelosporangium	1.0
Acetobacteraceae	Kitasatospora	0.6308898935153844
Acetobacteraceae	Klebsiella	1.0
Acetobacteraceae	Kocuria	1.0
Acetobacteraceae	Labrys	1.0
Acetobacteraceae	Lacibacter	1.0
Acetobacteraceae	Legionella	1.0
Acetobacteraceae	Lentzea	1.0
Acetobacteraceae	Leucobacter	1.0
Acetobacteraceae	Limnobacter	1.0
Acetobacteraceae	Luteimonas	1.0
Acetobacteraceae	Maliponia	1.0
Acetobacteraceae	Mangrovivirga	1.0
Acetobacteraceae	Marinobacter	1.0
Acetobacteraceae	Martelella	1.0
Acetobacteraceae	Massilia	1.0
Acetobacteraceae	Mesorhizobium	1.0
Acetobacteraceae	Metapseudomonas	1.0
Acetobacteraceae	Methyloceanibacter	1.0
Acetobacteraceae	Methylocella	1.0
Acetobacteraceae	Microbacterium	0.7071067811865476
Acetobacteraceae	Micromonospora	0.7071067811865476
Acetobacteraceae	Microterricola	1.0
Acetobacteraceae	Microvirga	0.7071067811865476
Acetobacteraceae	Modestobacter	1.0
Acetobacteraceae	Mycobacterium	0.9994523890974522
Acetobacteraceae	Natrinema	1.0
Acetobacteraceae	Neobacillus	1.0
Acetobacteraceae	Neorhizobium	1.0
Acetobacteraceae	Neoroseomonas	1.0
Acetobacteraceae	Niveibacterium	1.0
Acetobacteraceae	Nocardia	1.0
Acetobacteraceae	Nocardiopsis	1.0
Acetobacteraceae	Novosphingobium	1.0
