genus,cluster_id,total_hits,top_families
Acaromyces,0,5,Cutinase_like;AlkB;MHETase_like
Actinoplanes,0,2,AlkB;Cutinase_like;MHETase_like
Agrobacterium,0,1,AlkB;Cutinase_like;MHETase_like
Alcanivorax,0,18,AlkB;Cutinase_like;MHETase_like
Alicyclobacillus,0,6,AlkB;Cutinase_like;MHETase_like
Amycolatopsis,0,1,Cutinase_like;AlkB;MHETase_like
Ancylobacter,0,1,AlkB;Cutinase_like;MHETase_like
Aquabacterium,0,1,AlkB;Cutinase_like;MHETase_like
Arthrobacter,0,2,AlkB;Cutinase_like;MHETase_like
Aspergillus,1,17,Cutinase_like;AlkB;MHETase_like
Bacillus,0,1,AlkB;Cutinase_like;MHETase_like
Brevibacillus,0,1,AlkB;Cutinase_like;MHETase_like
Brevundimonas,0,1,AlkB;Cutinase_like;MHETase_like
Burkholderia,0,2,AlkB;Cutinase_like;MHETase_like
Caenimonas,0,1,AlkB;Cutinase_like;MHETase_like
Candidatus,2,3,MHETase_like;AlkB;Cutinase_like
Chitiniphilus,0,2,AlkB;Cutinase_like;MHETase_like
Colletotrichum,0,2,Cutinase_like;AlkB;MHETase_like
Corynebacterium,0,5,AlkB;Cutinase_like;MHETase_like
Cupriavidus,0,1,MHETase_like;AlkB;Cutinase_like
Curvularia,0,1,Cutinase_like;AlkB;MHETase_like
Eiseniibacteriota,0,3,Cutinase_like;AlkB;MHETase_like
Ensifer,0,1,AlkB;Cutinase_like;MHETase_like
Entotheonella,0,1,AlkB;Cutinase_like;MHETase_like
Flavihumibacter,0,3,AlkB;Cutinase_like;MHETase_like
Fluviicoccus,0,2,AlkB;Cutinase_like;MHETase_like
Frankia,0,3,Cutinase_like;AlkB;MHETase_like
Fusarium,1,11,Cutinase_like;AlkB;MHETase_like
Gemmatimonas,0,3,Cutinase_like;AlkB;MHETase_like
Gnomoniopsis,0,2,Cutinase_like;AlkB;MHETase_like
Gordonia,0,8,AlkB;Cutinase_like;MHETase_like
Haloarcula,0,1,AlkB;Cutinase_like;MHETase_like
Henriciella,0,2,AlkB;Cutinase_like;MHETase_like
Heterostelium,0,2,Cutinase_like;AlkB;MHETase_like
Hydrocarboniclastica,0,1,AlkB;Cutinase_like;MHETase_like
Kitasatospora,0,1,AlkB;Cutinase_like;MHETase_like
Legionella,0,1,AlkB;Cutinase_like;MHETase_like
Luteimonas,0,1,AlkB;Cutinase_like;MHETase_like
Macrophomina,0,1,Cutinase_like;AlkB;MHETase_like
Metapseudomonas,0,1,AlkB;Cutinase_like;MHETase_like
Methylobacterium,0,2,AlkB;MHETase_like;Cutinase_like
Mycobacterium,0,6,AlkB;Cutinase_like;MHETase_like
Mycolicibacterium,0,2,AlkB;Cutinase_like;MHETase_like
Niveibacterium,0,1,AlkB;Cutinase_like;MHETase_like
Nocardia,0,2,AlkB;Cutinase_like;MHETase_like
Nocardioides,0,2,Cutinase_like;AlkB;MHETase_like
Novosphingobium,0,1,AlkB;Cutinase_like;MHETase_like
Oceanococcus,0,1,AlkB;Cutinase_like;MHETase_like
Paraburkholderia,2,3,MHETase_like;AlkB;Cutinase_like
Paraperlucidibaca,0,5,AlkB;Cutinase_like;MHETase_like
Penicillium,0,4,Cutinase_like;AlkB;MHETase_like
Pseudoduganella,0,1,Cutinase_like;AlkB;MHETase_like
Pseudofrankia,0,1,AlkB;Cutinase_like;MHETase_like
Pseudomonas,0,1,Cutinase_like;AlkB;MHETase_like
Pseudorhodoferax,0,1,AlkB;Cutinase_like;MHETase_like
Pyrenophora,1,10,Cutinase_like;AlkB;MHETase_like
Ralstonia,0,1,Cutinase_like;AlkB;MHETase_like
Rariglobus,0,1,Cutinase_like;AlkB;MHETase_like
Rhodococcus,0,4,AlkB;Cutinase_like;MHETase_like
Rhynchosporium,0,1,Cutinase_like;AlkB;MHETase_like
Rivibacter,0,1,AlkB;Cutinase_like;MHETase_like
Roseobacter,0,1,Cutinase_like;AlkB;MHETase_like
Roseomonas,0,1,AlkB;Cutinase_like;MHETase_like
Saliniramus,0,1,AlkB;Cutinase_like;MHETase_like
Sphingobium,0,1,AlkB;Cutinase_like;MHETase_like
Sphingomonas,0,1,AlkB;Cutinase_like;MHETase_like
Sphingopyxis,0,4,AlkB;Cutinase_like;MHETase_like
Sporothrix,0,1,Cutinase_like;AlkB;MHETase_like
Stagnimonas,0,2,AlkB;Cutinase_like;MHETase_like
Streptomyces,0,10,AlkB;Cutinase_like;MHETase_like
Thermogutta,0,1,Cutinase_like;AlkB;MHETase_like
Trematosphaeria,0,1,Cutinase_like;AlkB;MHETase_like
Variovorax,2,3,MHETase_like;AlkB;Cutinase_like
Verruconis,0,3,Cutinase_like;AlkB;MHETase_like
Xaviernesmea,0,2,AlkB;Cutinase_like;MHETase_like
bacterium,0,1,AlkB;Cutinase_like;MHETase_like
marine,0,5,Cutinase_like;AlkB;MHETase_like
uncultured,0,1,AlkB;Cutinase_like;MHETase_like
