genus,AlkB,Cutinase_like,MHETase_like,PETase_like
Acaromyces,0.0,1.889569973888366,0.0,0.0
Acetobacteraceae,0.07410078328973983,0.0,0.0,0.0
Achromobacter,0.037050391644869916,0.0,0.0,0.0
Acidovorax,0.07410078328973983,0.0,0.0,0.0
Actinomadura,0.0,0.0,0.037050391644869916,0.0
Actinoplanes,0.07410078328973983,0.0,0.0,0.0
Aeromicrobium,0.25935274151408944,0.0,0.0,0.0
Agarivorans,0.037050391644869916,0.0,0.0,0.0
Agrobacterium,0.1852519582243496,0.0,0.0,0.0
Alcanivorax,4.186694255870301,0.0,0.0,0.0
Alicyclobacillus,1.5931668407294066,0.0,0.0,0.0
Aliigemmobacter,0.037050391644869916,0.0,0.0,0.0
Aliivibrio,0.07410078328973983,0.0,0.0,0.0
Alkalilimnicola,0.0,0.037050391644869916,0.0,0.0
Alkalisalibacterium,0.037050391644869916,0.0,0.0,0.0
Alkalispirochaeta,0.0,0.037050391644869916,0.0,0.0
Amycolatopsis,0.07410078328973983,0.07410078328973983,0.0,0.0
Ancylobacter,0.444604699738439,0.0,0.0,0.0
Antarctobacter,0.0,0.0,0.07410078328973983,0.0
Aquabacterium,0.1852519582243496,0.07410078328973983,0.0,0.0
Archangium,0.0,0.07410078328973983,0.0,0.0
Arenimonas,0.25935274151408944,0.0,0.0,0.0
Arthrobacter,0.11115117493460976,0.0,0.0,0.0
Aspergillus,0.0,9.855404177535398,0.0,0.0
Aureimonas,0.07410078328973983,0.0,0.0,0.0
Bacillus,0.2223023498692195,0.0,0.0,0.0
Beauveria,0.0,0.444604699738439,0.0,0.0
Blastomonas,0.037050391644869916,0.0,0.0,0.0
Bordetella,0.037050391644869916,0.0,0.0,0.0
Bosea,0.037050391644869916,0.0,0.0,0.0
Botryosphaeria,0.0,0.2223023498692195,0.0,0.0
Brachybacterium,0.037050391644869916,0.0,0.0,0.0
Bradyrhizobium,0.6669070496076586,0.0,0.07410078328973983,0.0
Bremerella,0.0,0.07410078328973983,0.0,0.0
Brevibacillus,0.48165509138330903,0.0,0.0,0.0
Brevibacterium,0.07410078328973983,0.0,0.0,0.0
Brevundimonas,0.3334535248038293,0.0,0.0,0.0
Burkholderia,0.8151086161871383,0.037050391644869916,0.14820156657947967,0.0
Caenimonas,0.037050391644869916,0.0,0.0,0.0
Caenorhabditis,0.11115117493460976,0.0,0.0,0.0
Caldovatus,0.07410078328973983,0.0,0.0,0.0
Candidatus,0.48165509138330903,0.11115117493460976,0.14820156657947967,0.0
Carbonactinospora,0.11115117493460976,0.0,0.0,0.0
Caulobacter,0.0,0.11115117493460976,0.0,0.0
Cellulomonas,0.0,0.07410078328973983,0.0,0.0
Cephalotrichum,0.0,0.037050391644869916,0.0,0.0
Ceratocystis,0.0,0.07410078328973983,0.0,0.0
Cereibacter,0.037050391644869916,0.0,0.0,0.0
Chelatococcus,0.037050391644869916,0.0,0.0,0.0
Chitiniphilus,0.1852519582243496,0.0,0.0,0.0
Chitinophaga,0.0,0.07410078328973983,0.0,0.0
Chloracidobacterium,0.0,0.037050391644869916,0.0,0.0
Choanephora,0.0,0.037050391644869916,0.0,0.0
Clavibacter,0.11115117493460976,0.0,0.0,0.0
Cognatilysobacter,0.07410078328973983,0.0,0.0,0.0
Cohnella,0.2223023498692195,0.0,0.0,0.0
Colletotrichum,0.0,0.11115117493460976,0.0,0.0
Congregibacter,0.0,0.07410078328973983,0.0,0.0
Cordyceps,0.0,0.037050391644869916,0.0,0.0
Corynebacterium,0.3705039164486992,0.07410078328973983,0.0,0.0
Crenothrix,0.037050391644869916,0.0,0.0,0.0
Cupriavidus,0.11115117493460976,0.0,0.11115117493460976,0.0
Curtobacterium,0.07410078328973983,0.0,0.0,0.0
Curvibacter,0.037050391644869916,0.0,0.0,0.0
Curvularia,0.0,0.14820156657947967,0.0,0.0
Cypionkella,0.07410078328973983,0.0,0.0,0.0
Delftia,0.037050391644869916,0.0,0.0,0.0
Dietzia,0.07410078328973983,0.0,0.0,0.0
Dulcicalothrix,0.0,0.037050391644869916,0.0,0.0
Dyadobacter,0.11115117493460976,0.0,0.0,0.0
Echinicola,0.037050391644869916,0.037050391644869916,0.0,0.0
Eiseniibacteriota,0.0,0.926259791121748,0.0,0.0
Ensifer,0.037050391644869916,0.0,0.0,0.0
Enterobacter,0.037050391644869916,0.0,0.0,0.0
Entotheonella,0.07410078328973983,0.0,0.0,0.0
Eutypa,0.0,0.037050391644869916,0.0,0.0
Exophiala,0.0,0.037050391644869916,0.0,0.0
Falsiruegeria,0.0,0.0,0.037050391644869916,0.0
Fistulifera,0.25935274151408944,0.0,0.0,0.0
Flagellimonas,0.0,0.037050391644869916,0.0,0.0
Flavihumibacter,0.3705039164486992,0.0,0.0,0.0
Flavisolibacter,0.07410078328973983,0.0,0.0,0.0
Flavobacterium,0.14820156657947967,0.0,0.0,0.0
Fluviicoccus,0.1852519582243496,0.0,0.0,0.0
Fontibacter,0.037050391644869916,0.0,0.0,0.0
Frankia,0.0,0.11115117493460976,0.0,0.0
Fulvivirga,0.037050391644869916,0.0,0.0,0.0
Fusarium,0.0,3.5197872062626425,0.0,0.0
Galdieria,0.07410078328973983,0.0,0.0,0.0
Gemmatimonas,0.0,0.29640313315895933,0.0,0.0
Geopseudomonas,0.07410078328973983,0.0,0.0,0.0
Glutamicibacter,0.037050391644869916,0.0,0.0,0.0
Gnomoniopsis,0.0,0.3334535248038293,0.0,0.0
Gordonia,2.334174673626805,0.07410078328973983,0.0,0.0
Granulosicoccus,0.0,0.0,0.11115117493460976,0.0
Haliea,0.0,0.037050391644869916,0.0,0.0
Haloarcula,0.3334535248038293,0.0,0.0,0.0
Haloechinothrix,0.0,0.037050391644869916,0.0,0.0
Haloprofundus,0.29640313315895933,0.0,0.0,0.0
Halopseudomonas,0.11115117493460976,0.0,0.0,0.0
Halorubrum,0.3334535248038293,0.0,0.0,0.0
Hansschlegelia,0.3334535248038293,0.0,0.0,0.0
Hartmannibacter,0.037050391644869916,0.0,0.0,0.0
Hazenella,0.0,0.037050391644869916,0.0,0.0
Helianthus,0.037050391644869916,0.0,0.0,0.0
Henriciella,0.07410078328973983,0.0,0.0,0.0
