genus,AlkB,Cutinase_like,MHETase_like
Acaromyces,0,5,0
Actinoplanes,2,0,0
Agrobacterium,1,0,0
Alcanivorax,18,0,0
Alicyclobacillus,6,0,0
Amycolatopsis,0,1,0
Ancylobacter,1,0,0
Aquabacterium,1,0,0
Arthrobacter,2,0,0
Aspergillus,0,17,0
Bacillus,1,0,0
Brevibacillus,1,0,0
Brevundimonas,1,0,0
Burkholderia,2,0,0
Caenimonas,1,0,0
Candidatus,1,0,2
Chitiniphilus,2,0,0
Colletotrichum,0,2,0
Corynebacterium,5,0,0
Cupriavidus,0,0,1
Curvularia,0,1,0
Eiseniibacteriota,0,3,0
Ensifer,1,0,0
Entotheonella,1,0,0
Flavihumibacter,3,0,0
Fluviicoccus,2,0,0
Frankia,0,3,0
Fusarium,0,11,0
Gemmatimonas,0,3,0
Gnomoniopsis,0,2,0
Gordonia,8,0,0
Haloarcula,1,0,0
Henriciella,2,0,0
Heterostelium,0,2,0
Hydrocarboniclastica,1,0,0
Kitasatospora,1,0,0
Legionella,1,0,0
Luteimonas,1,0,0
Macrophomina,0,1,0
Metapseudomonas,1,0,0
Methylobacterium,1,0,1
Mycobacterium,6,0,0
Mycolicibacterium,2,0,0
Niveibacterium,1,0,0
Nocardia,2,0,0
Nocardioides,0,2,0
Novosphingobium,1,0,0
Oceanococcus,1,0,0
Paraburkholderia,0,0,3
Paraperlucidibaca,5,0,0
Penicillium,0,4,0
Pseudoduganella,0,1,0
Pseudofrankia,1,0,0
Pseudomonas,0,1,0
Pseudorhodoferax,1,0,0
Pyrenophora,0,10,0
Ralstonia,0,1,0
Rariglobus,0,1,0
Rhodococcus,2,2,0
Rhynchosporium,0,1,0
Rivibacter,1,0,0
Roseobacter,0,1,0
Roseomonas,1,0,0
Saliniramus,1,0,0
Sphingobium,1,0,0
Sphingomonas,1,0,0
Sphingopyxis,4,0,0
Sporothrix,0,1,0
Stagnimonas,2,0,0
Streptomyces,9,1,0
Thermogutta,0,1,0
Trematosphaeria,0,1,0
Variovorax,0,0,3
Verruconis,0,3,0
Xaviernesmea,2,0,0
bacterium,1,0,0
marine,0,5,0
uncultured,1,0,0
