genus,module_id,degree,total_enzyme_hits,dominant_enzyme_families
Acaromyces,1,78.23613816727918,51,Cutinase_like
Acetobacteraceae,0,182.17335641135028,2,AlkB
Achromobacter,0,182.17335641135028,1,AlkB
Acidovorax,0,182.17335641135028,2,AlkB
Actinomadura,2,12.261203825414029,1,MHETase_like
Actinoplanes,0,182.17335641135028,2,AlkB
Aeromicrobium,0,182.17335641135028,7,AlkB
Agarivorans,0,182.17335641135028,1,AlkB
Agrobacterium,0,182.17335641135028,5,AlkB
Alcanivorax,0,182.17335641135028,113,AlkB
Alicyclobacillus,0,182.17335641135028,43,AlkB
Aliigemmobacter,0,182.17335641135028,1,AlkB
Aliivibrio,0,182.17335641135028,2,AlkB
Alkalilimnicola,1,78.23613816727918,1,Cutinase_like
Alkalisalibacterium,0,182.17335641135028,1,AlkB
Alkalispirochaeta,1,78.23613816727918,1,Cutinase_like
Amycolatopsis,1,186.7130926380383,4,AlkB;Cutinase_like
Ancylobacter,0,182.17335641135028,12,AlkB
Antarctobacter,2,12.261203825414029,2,MHETase_like
Aquabacterium,0,172.78202357638264,7,AlkB;Cutinase_like
Archangium,1,78.23613816727918,2,Cutinase_like
Arenimonas,0,182.17335641135028,7,AlkB
Arthrobacter,0,182.17335641135028,3,AlkB
Aspergillus,1,78.23613816727918,266,Cutinase_like
Aureimonas,0,182.17335641135028,2,AlkB
Bacillus,0,182.17335641135028,6,AlkB
Beauveria,1,78.23613816727918,12,Cutinase_like
Blastomonas,0,182.17335641135028,1,AlkB
Bordetella,0,182.17335641135028,1,AlkB
Bosea,0,182.17335641135028,1,AlkB
Botryosphaeria,1,78.23613816727918,6,Cutinase_like
Brachybacterium,0,182.17335641135028,1,AlkB
Bradyrhizobium,0,180.6186165828521,20,AlkB;MHETase_like
Bremerella,1,78.23613816727918,2,Cutinase_like
Brevibacillus,0,182.17335641135028,13,AlkB
Brevibacterium,0,182.17335641135028,2,AlkB
Brevundimonas,0,182.17335641135028,9,AlkB
Burkholderia,0,178.48084774294102,27,AlkB;MHETase_like;Cutinase_like
Caenimonas,0,182.17335641135028,1,AlkB
Caenorhabditis,0,182.17335641135028,3,AlkB
Caldovatus,0,182.17335641135028,2,AlkB
Candidatus,0,171.35319605004764,20,AlkB;MHETase_like;Cutinase_like
Carbonactinospora,0,182.17335641135028,3,AlkB
Caulobacter,1,78.23613816727918,3,Cutinase_like
Cellulomonas,1,78.23613816727918,2,Cutinase_like
Cephalotrichum,1,78.23613816727918,1,Cutinase_like
Ceratocystis,1,78.23613816727918,2,Cutinase_like
Cereibacter,0,182.17335641135028,1,AlkB
Chelatococcus,0,182.17335641135028,1,AlkB
Chitiniphilus,0,182.17335641135028,5,AlkB
Chitinophaga,1,78.23613816727918,2,Cutinase_like
Chloracidobacterium,1,78.23613816727918,1,Cutinase_like
Choanephora,1,78.23613816727918,1,Cutinase_like
Clavibacter,0,182.17335641135028,3,AlkB
Cognatilysobacter,0,182.17335641135028,2,AlkB
Cohnella,0,182.17335641135028,6,AlkB
Colletotrichum,1,78.23613816727918,3,Cutinase_like
Congregibacter,1,78.23613816727918,2,Cutinase_like
Cordyceps,1,78.23613816727918,1,Cutinase_like
Corynebacterium,0,180.5350021190378,12,AlkB;Cutinase_like
Crenothrix,0,182.17335641135028,1,AlkB
Cupriavidus,0,135.20418139292224,6,AlkB;MHETase_like
Curtobacterium,0,182.17335641135028,2,AlkB
Curvibacter,0,182.17335641135028,1,AlkB
