protein_id	taxid	genus	species	source_db
A0A0K8P6T7		Piscinibacter	Piscinibacter sakaiensis (Ideonella sakaiensis)	UniProt
E9LVH9		Thermobifida	Thermobifida cellulosilytica	UniProt
F7IX06		Thermobifida	Thermobifida alba (Thermomonospora alba)	UniProt
G8GER6		Thermobifida	Thermobifida fusca (Thermomonospora fusca)	UniProt
G9BY57		Unknown	Unknown prokaryotic organism	UniProt
Q47RJ6		Thermobifida	Thermobifida fusca (strain YX)	UniProt
Q6A0I4		Thermobifida	Thermobifida fusca (Thermomonospora fusca)	UniProt
D4Q9N1		Thermobifida	Thermobifida alba (Thermomonospora alba)	UniProt
E9LVH8		Thermobifida	Thermobifida cellulosilytica	UniProt
Q47RJ7		Thermobifida	Thermobifida fusca (strain YX)	UniProt
A0A1N6XE42		Microbispora	Microbispora rosea	UniProt
A0A2P4UDA7		Actinomadura	Actinomadura rubteroloni	UniProt
A0A2P4UDC3		Actinomadura	Actinomadura rubteroloni	UniProt
A0A365HAJ8		Actinomadura	Actinomadura craniellae	UniProt
A0A4V0ZKB9		Streptomonospora	Streptomonospora litoralis	UniProt
A0A543NNU7		Haloactinospora	Haloactinospora alba	UniProt
A0A5J5K4W0		Microbispora	Microbispora cellulosiformans	UniProt
A0A5N6AZJ9		Microbispora	Microbispora catharanthi	UniProt
A0A5N6B8J9		Microbispora	Microbispora catharanthi	UniProt
A0A7K1L1I6		Actinomadura	Actinomadura litoris	UniProt
A0A7W7RJC2		Lipingzhangella	Lipingzhangella halophila	UniProt
A0A7X0IJV2		Sphaerisporangium	Sphaerisporangium rubeum	UniProt
A0A841IUE8		Nocardiopsis	Nocardiopsis algeriensis	UniProt
A0A8H9GXL4		Microbispora	Microbispora bryophytorum	UniProt
A0A917R069		Sphaerisporangium	Sphaerisporangium melleum	UniProt
A0A919R7S7		Sphaerisporangium	Sphaerisporangium rufum	UniProt
A0A940WR16		Microbispora	Microbispora oryzae	UniProt
A0A941ALA2		Microbispora	Microbispora oryzae	UniProt
A0A0C2G8Q0		Streptomonospora	Streptomonospora alba	UniProt
A0A147KJY8		Thermobifida	Thermobifida cellulosilytica TB100	UniProt
A0A161LKE9		Planomonospora	Planomonospora sphaerica	UniProt
A0A1G7Z2H0		Nonomuraea	Nonomuraea jiangxiensis	UniProt
A0A1G8SHF7		Nonomuraea	Nonomuraea maritima	UniProt
A0A1H5T4B9		Thermomonospora	Thermomonospora echinospora	UniProt
A0A1H5UML9		Nonomuraea	Nonomuraea solani	UniProt
A0A1H6AWM6		Thermomonospora	Thermomonospora echinospora	UniProt
A0A1H6C9P0		Thermomonospora	Thermomonospora echinospora	UniProt
A0A1H6CN89		Thermomonospora	Thermomonospora echinospora	UniProt
A0A1H6EII4		Nonomuraea	Nonomuraea solani	UniProt
A0A1H6EZ24		Nonomuraea	Nonomuraea solani	UniProt
A0A1H7U3G5		Nonomuraea	Nonomuraea pusilla	UniProt
A0A1H8CDJ8		Nonomuraea	Nonomuraea pusilla	UniProt
A0A1H8CEP3		Nonomuraea	Nonomuraea pusilla	UniProt
A0A1I0JU31		Nonomuraea	Nonomuraea wenchangensis	UniProt
A0A1I4AJK7		Streptosporangium	Streptosporangium canum	UniProt
A0A1I4CKC4		Streptosporangium	Streptosporangium canum	UniProt
A0A1I4D078		Streptosporangium	Streptosporangium canum	UniProt
A0A1I5FBR0		Actinomadura	Actinomadura madurae	UniProt
A0A1I5RT09		Actinomadura	Actinomadura madurae	UniProt
A0A1M4E4K7		Nonomuraea	Nonomuraea gerenzanensis	UniProt
A0A1M6M213		Nocardiopsis	Nocardiopsis flavescens	UniProt
A0A1N6SMU6		Microbispora	Microbispora rosea	UniProt
A0A1T4KK94		Marinactinospora	Marinactinospora thermotolerans DSM 45154	UniProt
A0A1U9ZTE6		[Actinomadura]	[Actinomadura] parvosata subsp. kistnae	UniProt
A0A1V0A5L2		[Actinomadura]	[Actinomadura] parvosata subsp. kistnae	UniProt
A0A1V3C6I0		Nocardiopsis	Nocardiopsis sinuspersici	UniProt
A0A238V211		Actinomadura	Actinomadura mexicana	UniProt
A0A239AX86		Streptosporangium	Streptosporangium subroseum	UniProt
A0A239F412		Streptosporangium	Streptosporangium subroseum	UniProt
A0A239F952		Actinomadura	Actinomadura meyerae	UniProt
A0A239NYM8		Actinomadura	Actinomadura meyerae	UniProt
A0A243RG01		Streptosporangium	Streptosporangium minutum	UniProt
A0A243RI45		Streptosporangium	Streptosporangium minutum	UniProt
A0A243RTG5		Streptosporangium	Streptosporangium minutum	UniProt
A0A2C9ZMQ8		Streptosporangium	Streptosporangium minutum	UniProt
A0A2P4UD72		Actinomadura	Actinomadura rubteroloni	UniProt
A0A2P4UDP6		Actinomadura	Actinomadura rubteroloni	UniProt
A0A2P4UJS9		Actinomadura	Actinomadura rubteroloni	UniProt
A0A2P4UNN9		Actinomadura	Actinomadura rubteroloni	UniProt
A0A2P4UPT6		Actinomadura	Actinomadura rubteroloni	UniProt
A0A2T0MSV4		Nonomuraea	Nonomuraea fuscirosea	UniProt
A0A2T0PXG2		Allonocardiopsis	Allonocardiopsis opalescens	UniProt
A0A2W2EN64		Nonomuraea	Nonomuraea aridisoli	UniProt
A0A365GXM3		Actinomadura	Actinomadura craniellae	UniProt
A0A365H0G7		Actinomadura	Actinomadura craniellae	UniProt
A0A365H682		Actinomadura	Actinomadura craniellae	UniProt
A0A365H6K8		Actinomadura	Actinomadura craniellae	UniProt
A0A365H6N6		Actinomadura	Actinomadura craniellae	UniProt
A0A365H6Y8		Actinomadura	Actinomadura craniellae	UniProt
A0A365H755		Actinomadura	Actinomadura craniellae	UniProt
A0A366LTE2		Spongiactinospora	Spongiactinospora rosea	UniProt
A0A367F9K2		Sphaerisporangium	Sphaerisporangium album	UniProt
A0A3A4B4E3		Bailinhaonella	Bailinhaonella thermotolerans	UniProt
A0A3D9SN04		Thermomonospora	Thermomonospora umbrina	UniProt
A0A3D9SNA7		Thermomonospora	Thermomonospora umbrina	UniProt
A0A3D9SP59		Thermomonospora	Thermomonospora umbrina	UniProt
A0A3D9SPQ3		Thermomonospora	Thermomonospora umbrina	UniProt
A0A3D9SRH8		Thermomonospora	Thermomonospora umbrina	UniProt
A0A3D9SRX0		Thermomonospora	Thermomonospora umbrina	UniProt
A0A3D9SUD5		Thermomonospora	Thermomonospora umbrina	UniProt
A0A3D9SUJ1		Thermomonospora	Thermomonospora umbrina	UniProt
A0A3D9SVD4		Thermomonospora	Thermomonospora umbrina	UniProt
A0A3N0E3M2		Halostreptopolyspora	Halostreptopolyspora alba	UniProt
A0A3N0EHU6		Halostreptopolyspora	Halostreptopolyspora alba	UniProt
A0A3N1CRP0		Actinocorallia	Actinocorallia herbida	UniProt
A0A3N1D7Y0		Actinocorallia	Actinocorallia herbida	UniProt
A0A438MM65		Nonomuraea	Nonomuraea polychroma	UniProt
A0A4R4N608		Actinomadura	Actinomadura bangladeshensis	UniProt
A0A4R4NB20		Actinomadura	Actinomadura bangladeshensis	UniProt
A0A4R4W6Q2		Nonomuraea	Nonomuraea diastatica	UniProt
A0A4R4ZDD0		Nonomuraea	Nonomuraea terrae	UniProt
A0A4R5ARP1		Actinomadura	Actinomadura darangshiensis	UniProt
A0A4R5FXI3		Nonomuraea	Nonomuraea mesophila	UniProt
A0A4R6UW92		Actinorugispora	Actinorugispora endophytica	UniProt
A0A4R6V0N6		Actinorugispora	Actinorugispora endophytica	UniProt
A0A4U3MI12		Herbidospora	Herbidospora galbida	UniProt
A0A4V2XJ75		Nonomuraea	Nonomuraea longispora	UniProt
A0A4V2YA86		Nonomuraea	Nonomuraea deserti	UniProt
A0A4V2YB24		Nonomuraea	Nonomuraea deserti	UniProt
A0A543CJP3		Actinoallomurus	Actinoallomurus bryophytorum	UniProt
A0A543IKT7		Actinomadura	Actinomadura hallensis	UniProt
A0A544Z467		Microbispora	Microbispora hainanensis	UniProt
A0A5C4J1R7		Actinomadura	Actinomadura soli	UniProt
A0A5C4VLV1		Nonomuraea	Nonomuraea phyllanthi	UniProt
A0A5C4WSK7		Nonomuraea	Nonomuraea phyllanthi	UniProt
A0A5J5K6L1		Microbispora	Microbispora cellulosiformans	UniProt
A0A5M3W626		Acrocarpospora	Acrocarpospora corrugata	UniProt
A0A5M3X7T2		Acrocarpospora	Acrocarpospora macrocephala	UniProt
A0A5M3XC53		Acrocarpospora	Acrocarpospora pleiomorpha	UniProt
A0A5N6B6N8		Microbispora	Microbispora catharanthi	UniProt
A0A5S4FJI0		Nonomuraea	Nonomuraea zeae	UniProt
A0A5S4G823		Nonomuraea	Nonomuraea zeae	UniProt
A0A5S4GNH7		Nonomuraea	Nonomuraea zeae	UniProt
A0A5S4H3R9		Actinomadura	Actinomadura geliboluensis	UniProt
A0A6H9YZG5		Actinomadura	Actinomadura rudentiformis	UniProt
A0A6I4MG66		Actinomadura	Actinomadura physcomitrii	UniProt
A0A6I4VZW1		Actinomadura	Actinomadura rayongensis	UniProt
A0A6I4W489		Actinomadura	Actinomadura rayongensis	UniProt
A0A6I4W6E8		Actinomadura	Actinomadura rayongensis	UniProt
A0A6I4W9J4		Actinomadura	Actinomadura rayongensis	UniProt
A0A6I4WCS2		Actinomadura	Actinomadura rayongensis	UniProt
A0A6I4WH26		Actinomadura	Actinomadura rayongensis	UniProt
A0A6L3W3E9		Actinomadura	Actinomadura montaniterrae	UniProt
