Entry	Entry Name	Protein names	Organism	Organism (ID)
A0A8J0SWG9	A0A8J0SWG9_XENTR	Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.33) (EC 1.14.11.51) (EC 4.2.99.18) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (DNA lyase ABH1) (DNA oxidative demethylase ALKBH1) (mRNA N(3)-methylcytidine demethylase)	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	8364
P05050	ALKB_ECOLI	Alpha-ketoglutarate-dependent dioxygenase AlkB (EC 1.14.11.33) (Alkylated DNA repair protein AlkB) (DNA oxidative demethylase AlkB)	Escherichia coli (strain K12)	83333
P12691	ALKB_ECTOL	Alkane 1-monooxygenase (EC 1.14.15.3) (Alkane hydroxylase) (AHs) (Terminal alkane hydroxylase)	Ectopseudomonas oleovorans (Pseudomonas oleovorans)	301
Q640F9	Q640F9_XENLA	Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.33) (EC 1.14.11.51) (EC 4.2.99.18) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (DNA lyase ABH1) (DNA oxidative demethylase ALKBH1) (mRNA N(3)-methylcytidine demethylase)	Xenopus laevis (African clawed frog)	8355
Q0VKZ3	ALKB1_ALCBS	Alkane 1-monooxygenase 1 (EC 1.14.15.3) (Alkane hydroxylase) (AHs) (Terminal alkane hydroxylase)	Alcanivorax borkumensis (strain ATCC 700651 / DSM 11573 / NCIMB 13689 / SK2)	393595
Q0VTH3	ALKB2_ALCBS	Alkane 1-monooxygenase 2 (EC 1.14.15.3) (Alkane hydroxylase) (AHs) (Terminal alkane hydroxylase)	Alcanivorax borkumensis (strain ATCC 700651 / DSM 11573 / NCIMB 13689 / SK2)	393595
A0A016TQ52	A0A016TQ52_9BILA	tRNA (carboxymethyluridine(34)-5-O)-methyltransferase (EC 2.1.1.229) (Alkylated DNA repair protein alkB homolog 8) (S-adenosyl-L-methionine-dependent tRNA methyltransferase ALKBH8)	Ancylostoma ceylanicum	53326
A0A078LF36	A0A078LF36_CITKO	Alpha-ketoglutarate-dependent dioxygenase AlkB (EC 1.14.11.33) (Alkylated DNA repair protein AlkB) (DNA oxidative demethylase AlkB)	Citrobacter koseri (Citrobacter diversus)	545
A0A081CT00	A0A081CT00_9HYPH	Alpha-ketoglutarate-dependent dioxygenase AlkB (EC 1.14.11.33) (Alkylated DNA repair protein AlkB) (DNA oxidative demethylase AlkB)	Agrobacterium rubi TR3 = NBRC 13261	1368415
A0A085AFL3	A0A085AFL3_9ENTR	Alpha-ketoglutarate-dependent dioxygenase AlkB (EC 1.14.11.33) (Alkylated DNA repair protein AlkB) (DNA oxidative demethylase AlkB)	Trabulsiella guamensis ATCC 49490	1005994
