Entry	Entry Name	Protein names	Organism	Organism (ID)
A0A024SC78	CUTI1_HYPJR	Cutinase (EC 3.1.1.74)	Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) (Trichoderma reesei)	1344414
A0A2J8C362	CUTI1_VERDA	Cutinase 11 (EC 3.1.1.74) (VdCUT11)	Verticillium dahliae (Verticillium wilt)	27337
A6WFI5	CUTI_KINRD	Cutinase (EC 3.1.1.74) (KrCUT)	Kineococcus radiotolerans (strain ATCC BAA-149 / DSM 14245 / SRS30216)	266940
E9LVH9	PETH2_THECS	Cutinase 2 (EC 3.1.1.74) (Poly(ethylene terephthalate) hydrolase) (PET hydrolase) (PETase) (EC 3.1.1.101)	Thermobifida cellulosilytica	144786
F7IX06	PETH2_THEAE	Cutinase est2 (EC 3.1.1.74) (Poly(ethylene terephthalate) hydrolase) (PET hydrolase) (PETase) (EC 3.1.1.101) (TaCut2)	Thermobifida alba (Thermomonospora alba)	53522
G8GER6	PETH1_THEFU	Cutinase cut1 (EC 3.1.1.74) (Poly(ethylene terephthalate) hydrolase) (PET hydrolase) (PETase) (EC 3.1.1.101)	Thermobifida fusca (Thermomonospora fusca)	2021
G9BY57	PETH_UNKP	Leaf-branch compost cutinase (LC-cutinase) (LCC) (EC 3.1.1.74) (PET-digesting enzyme) (Poly(ethylene terephthalate) hydrolase) (PET hydrolase) (PETase) (EC 3.1.1.101)	Unknown prokaryotic organism	2725
O06319	CULP4_MYCTU	Phospholipase Culp4 (EC 3.1.1.-) (Cutinase-like protein 4) (Culp4)	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	83332
O53581	CULP6_MYCTU	Carboxylesterase/lipase Culp6 (EC 3.1.1.-) (Cell wall lipase) (Cutinase-like protein 6) (Culp6)	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	83332
P00590	CUTI1_FUSVN	Cutinase 1 (EC 3.1.1.74) (Cutin hydrolase 1)	Fusarium vanettenii (Neocosmospora pisi)	2747968
P0DX29	PETH1_AMYMS	Cutinase (EC 3.1.1.74) (AML) (AmCut) (Lipase) (EC 3.1.1.1, EC 3.1.1.3)	Amycolatopsis mediterranei (strain S699) (Nocardia mediterranei)	713604
P11373	CUTI1_COLGL	Cutinase 1 (EC 3.1.1.74) (Cutin hydrolase 1)	Colletotrichum gloeosporioides (Anthracnose fungus) (Glomerella cingulata)	474922
P52956	CUTI1_ASPOR	Cutinase 1 (EC 3.1.1.74) (Cutin hydrolase 1) (L1)	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	510516
P9WP43	CULP1_MYCTU	Carboxylesterase Culp1 (EC 3.1.1.-) (CFP21) (Cutinase-like protein 1) (Culp1)	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	83332
Q47RJ6	PETH2_THEFY	Cutinase (EC 3.1.1.74) (Poly(ethylene terephthalate) hydrolase) (PET hydrolase) (PETase) (EC 3.1.1.101)	Thermobifida fusca (strain YX)	269800
Q5AVY9	CUTI2_EMENI	Cutinase 2 (EC 3.1.1.74) (Ancut2) (Cutin hydrolase 2)	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	227321
Q6A0I4	PETH2_THEFU	Cutinase cut2 (TfCut2) (EC 3.1.1.74) (Acetylxylan esterase) (BTA-hydrolase 1) (Poly(ethylene terephthalate) hydrolase) (PET hydrolase) (PETase) (EC 3.1.1.101)	Thermobifida fusca (Thermomonospora fusca)	2021
A8QPD8	CUTI1_TRIHA	Cutinase cut1 (EC 3.1.1.74) (Thcut1)	Trichoderma harzianum (Hypocrea lixii)	5544
B9U443	CUTI1_COPCI	Cutinase CUT1 (EC 3.1.1.74) (CcCUT1)	Coprinopsis cinerea (Inky cap fungus) (Hormographiella aspergillata)	5346
D4Q9N1	PETH1_THEAE	Cutinase est1 (EC 3.1.1.74) (Poly(ethylene terephthalate) hydrolase) (PET hydrolase) (PETase) (EC 3.1.1.101)	Thermobifida alba (Thermomonospora alba)	53522
E9LVH8	PETH1_THECS	Cutinase 1 (EC 3.1.1.74) (Poly(ethylene terephthalate) hydrolase) (PET hydrolase) (PETase) (EC 3.1.1.101)	Thermobifida cellulosilytica	144786
G4MZV6	CUTI2_PYRO7	Cutinase CUT2 (EC 3.1.1.74)	Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Magnaporthe oryzae)	242507
O07801	CHP1_MYCTU	SL1278 acyltransferase Chp1 (EC 2.3.1.284) (Cutinase-like hydrolase protein)	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	83332
P10951	CUTI_COLTU	Cutinase (EC 3.1.1.74) (Cutin hydrolase)	Colletotrichum truncatum (Anthracnose fungus) (Colletotrichum capsici)	5467
P86010	CUTI1_COLKA	Cutinase 1 (EC 3.1.1.74) (Cutin hydrolase 1)	Colletotrichum kahawae (Coffee berry disease fungus)	34407
P9WP41	CULP2_MYCTU	Probable carboxylesterase Culp2 (EC 3.1.1.-) (CFP25) (Cutinase-like protein 2) (Culp2)	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	83332
Q00298	CUTI_BOTFU	Cutinase (EC 3.1.1.74) (Cutin hydrolase)	Botryotinia fuckeliana (Noble rot fungus) (Botrytis cinerea)	40559
Q47RJ7	PETH1_THEFY	Cutinase (EC 3.1.1.74) (Poly(ethylene terephthalate) hydrolase) (PET hydrolase) (PETase) (EC 3.1.1.101)	Thermobifida fusca (strain YX)	269800
Q5AX00	CUTI3_EMENI	Cutinase 3 (EC 3.1.1.74) (Ancut3) (Cutin hydrolase 3)	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	227321
Q79FA4	CULP7_MYCTU	Probable carboxylesterase Culp7 (EC 3.1.1.-) (Cutinase-like protein 7) (Culp7)	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	83332
Q9Y7G8	CUTI_PYRBR	Cutinase pbc1 (EC 3.1.1.74) (Cutin hydrolase)	Pyrenopeziza brassicae	76659
A0A017SIZ4	A0A017SIZ4_ASPRC	Cutinase (EC 3.1.1.74)	Aspergillus ruber (strain CBS 135680)	1388766
A0A074YWU9	A0A074YWU9_AURSE	Cutinase (EC 3.1.1.74)	Aureobasidium subglaciale (strain EXF-2481) (Aureobasidium pullulans var. subglaciale)	1043005
A0A090MGW0	A0A090MGW0_9HYPO	Cutinase (EC 3.1.1.74)	Fusarium clavum	2594811
A0A098DTU5	A0A098DTU5_GIBZE	Cutinase (EC 3.1.1.74)	Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum)	229533
A0A0A2JE47	A0A0A2JE47_PENEN	cutinase (EC 3.1.1.74)	Penicillium expansum (Blue mold rot fungus)	27334
A0A0B7K9D6	A0A0B7K9D6_BIOOC	Cutinase (EC 3.1.1.74)	Bionectria ochroleuca (Gliocladium roseum)	29856
A0A0C4DM00	A0A0C4DM00_MAGP6	Cutinase (EC 3.1.1.74)	Magnaporthiopsis poae (strain ATCC 64411 / 73-15) (Kentucky bluegrass fungus) (Magnaporthe poae)	644358
A0A0F4GU40	A0A0F4GU40_9PEZI	Cutinase (EC 3.1.1.74)	Zymoseptoria brevis	1047168
A0A0F4YEY0	A0A0F4YEY0_RASE3	Cutinase (EC 3.1.1.74)	Rasamsonia emersonii (strain ATCC 16479 / CBS 393.64 / IMI 116815)	1408163
A0A0F9X9J5	A0A0F9X9J5_TRIHA	Cutinase (EC 3.1.1.74)	Trichoderma harzianum (Hypocrea lixii)	5544
A0A0G2E261	A0A0G2E261_9PEZI	Cutinase (EC 3.1.1.74)	Diplodia seriata	420778
A0A0G2IG14	A0A0G2IG14_9PEZI	Cutinase (EC 3.1.1.74)	Diaporthe ampelina	1214573
