Entry	Entry Name	Protein names	Organism	Organism (ID)
A0A0K8P8E7	MHETH_PISS1	Mono(2-hydroxyethyl) terephthalate hydrolase (MHET hydrolase) (MHETase) (EC 3.1.1.102)	Piscinibacter sakaiensis (Ideonella sakaiensis)	1547922
A0A2Z2P0Q7	A0A2Z2P0Q7_9GAMM	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.-)	Granulosicoccus antarcticus IMCC3135	1192854
A0A1X1PM24	A0A1X1PM24_9BURK	Esterase (Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102))	Burkholderia puraquae	1904757
A0A221JW97	A0A221JW97_9RHOB	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.-)	Pseudosulfitobacter pseudonitzschiae	1402135
A0A222E0D5	A0A222E0D5_9RHOB	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.-)	Antarctobacter heliothermus	74033
A0A2N7W7Z2	A0A2N7W7Z2_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102) (Tannase/feruloyl esterase family alpha/beta hydrolase)	Paraburkholderia rhynchosiae	487049
A0A2N7WIJ2	A0A2N7WIJ2_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102) (Tannase/feruloyl esterase family alpha/beta hydrolase)	Paraburkholderia rhynchosiae	487049
A0A2N7WT19	A0A2N7WT19_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102) (Tannase/feruloyl esterase family alpha/beta hydrolase)	Paraburkholderia rhynchosiae	487049
A0A2R8CAB2	A0A2R8CAB2_9RHOB	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Falsiruegeria mediterranea M17	1200281
A0A2R8CG46	A0A2R8CG46_9RHOB	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Falsiruegeria mediterranea M17	1200281
A0A2R8CH46	A0A2R8CH46_9GAMM	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Kushneria phyllosphaerae	2100822
A0A508SWH9	A0A508SWH9_9BRAD	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Bradyrhizobium ivorense	2511166
A0A554WIU4	A0A554WIU4_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Tepidimonas aquatica	247482
A0A5E6YM10	A0A5E6YM10_PSEFL	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Pseudomonas fluorescens	294
A0A5E6YN35	A0A5E6YN35_PSEFL	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Pseudomonas fluorescens	294
A0A5J4RG58	A0A5J4RG58_9ZZZZ	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.-)	termite gut metagenome	433724
A0A5J4RMF3	A0A5J4RMF3_9ZZZZ	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.-)	termite gut metagenome	433724
A0A5M8NZN6	A0A5M8NZN6_9BACT	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.-)	Candidatus Ordinivivax streblomastigis	2540710
A0A679IV36	A0A679IV36_VARPD	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.-)	Variovorax paradoxus	34073
A0A679JAU7	A0A679JAU7_VARPD	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.-)	Variovorax paradoxus	34073
A0A679JF94	A0A679JF94_VARPD	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.-)	Variovorax paradoxus	34073
A0A679JIX2	A0A679JIX2_VARPD	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.-)	Variovorax paradoxus	34073
A0A679JQL4	A0A679JQL4_VARPD	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.-)	Variovorax paradoxus	34073
A0A679JSQ1	A0A679JSQ1_VARPD	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.-)	Variovorax paradoxus	34073
A0A6J4ZUJ9	A0A6J4ZUJ9_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Paraburkholderia phenoliruptrix	252970
A0A6J4ZXS4	A0A6J4ZXS4_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Paraburkholderia sediminicola	458836
A0A6J5AHH5	A0A6J5AHH5_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Paraburkholderia sediminicola	458836
A0A6J5B0A2	A0A6J5B0A2_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Paraburkholderia phenoliruptrix	252970
A0A6J5BKP3	A0A6J5BKP3_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase	Paraburkholderia phenoliruptrix	252970
A0A6J5CDR5	A0A6J5CDR5_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Paraburkholderia sediminicola	458836
A0A6J5CN90	A0A6J5CN90_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Paraburkholderia phenoliruptrix	252970
A0A6J5DFN4	A0A6J5DFN4_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Paraburkholderia humisilvae	627669
A0A6J5F6R0	A0A6J5F6R0_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase	Paraburkholderia solisilvae	624376
A0A6J5F7D9	A0A6J5F7D9_9BURK	Mono(2-hydroxyethyl) terephthalate hydrolase (EC 3.1.1.102)	Paraburkholderia humisilvae	627669
