read_id	protein_id	family	evalue	bitscore	pident	aln_len
SRR28636386.6727	A0A1R7QE33	AlkB	7.84e-30	106	100.0	50
SRR28636386.7704	A0AAN5C2R9	Cutinase_like	1.19e-12	58.9	60.0	50
SRR28636386.8019	A0AAN5C2R9	Cutinase_like	1.19e-12	58.9	60.0	50
SRR28636386.12719	A0ABY6Y3A1	AlkB	1.57e-23	88.6	84.0	50
SRR28636386.15512	A0ABY6Y3A1	AlkB	1.57e-23	88.6	84.0	50
SRR28636386.18181	A0ABQ1TYD3	AlkB	1.07e-15	65.9	56.0	50
SRR28636386.22007	A0A1L7XLJ4	Cutinase_like	1.16e-09	50.4	44.0	50
SRR28636386.27383	A0A922NQS1	Cutinase_like	5.39e-06	40.0	36.0	50
SRR28636386.27520	A0ABT8EVN5	Cutinase_like	5.93e-07	42.7	38.9	54
SRR28636386.31824	A0ABQ6CYQ0	AlkB	3.66e-16	68.6	66.0	50
SRR28636386.55309	G1C7H9	AlkB	9.84e-26	95.1	88.0	50
SRR28636386.55406	G1C7H9	AlkB	1.24e-21	84.0	80.0	50
SRR28636386.58542	A0A316YF96	Cutinase_like	5.37e-17	71.2	70.0	50
SRR28636386.59886	A0A917Q8D6	AlkB	1.51e-15	67.0	62.0	50
SRR28636386.60312	A0A1S9RVN2	Cutinase_like	1.94e-14	63.9	57.6	59
SRR28636386.69602	A0A2N3J077	Cutinase_like	1.24e-28	102	98.0	50
SRR28636386.86383	A0ABW3HCW7	AlkB	5.65e-12	57.0	52.0	50
SRR28636386.111245	A0A3R9AL34	AlkB	1.37e-29	105	100.0	50
SRR28636386.115301	A0A8H6D6M8	Cutinase_like	1.06e-11	56.2	50.0	50
SRR28636386.134041	A0A9P5AHW0	Cutinase_like	3.93e-06	40.4	36.0	50
SRR28636386.154531	A0A2N3J077	Cutinase_like	1.64e-30	107	98.0	50
SRR28636386.164639	A0AAE2E906	AlkB	2.53e-31	109	98.0	50
SRR28636386.167526	A0AAN5C2R9	Cutinase_like	1.17e-06	42.0	47.1	51
SRR28636386.185857	A0A382EE29	Cutinase_like	2.03e-14	63.9	60.0	50
SRR28636386.203280	A0ABM8C2J5	AlkB	7.99e-21	81.3	76.0	50
SRR28636386.204469	A0AAW6QUD3	Cutinase_like	9.81e-13	58.5	54.4	57
SRR28636386.205287	A0AAN5C2R9	Cutinase_like	2.71e-11	55.1	50.0	50
SRR28636386.212056	A0ABY6Y3A1	AlkB	3.94e-26	95.5	80.0	50
SRR28636386.212188	A0ABY6Y3A1	AlkB	3.94e-26	95.5	80.0	50
SRR28636386.234415	A9CMS7	AlkB	7.71e-12	56.6	50.0	50
SRR28636386.238656	A0A922NQS1	Cutinase_like	4.85e-11	54.3	56.9	51
SRR28636386.260710	A0ABM5YPA8	AlkB	2.15e-13	60.8	56.9	51
SRR28636386.265563	A0A254U084	Cutinase_like	1.9e-11	55.5	52.0	50
SRR28636386.273646	A0A8J2VM04	AlkB	7.6e-06	39.7	38.0	50
SRR28636386.298735	A9CMS7	AlkB	2.81e-17	72.0	62.0	50
SRR28636386.306432	A0A922NQS1	Cutinase_like	2.19e-06	41.2	44.0	50
SRR28636386.329315	A9CMS7	AlkB	9.96e-09	47.8	48.0	50
SRR28636386.336877	G1C7R7	AlkB	5.44e-20	75.1	68.0	50
SRR28636386.337197	G1C7R7	AlkB	5.44e-20	75.1	68.0	50
SRR28636386.343340	A0AAN5C2R9	Cutinase_like	8.68e-13	59.3	54.0	50
SRR28636386.352935	A0A9P4TBT9	Cutinase_like	6.63e-11	53.9	54.0	50
SRR28636386.359768	A0A9P5AHW0	Cutinase_like	1.17e-09	50.4	46.0	50
SRR28636386.359812	A0A0A2DGG5	AlkB	7.18e-25	92.0	88.0	50
SRR28636386.382526	A0A5S9Q0K5	AlkB	3.99e-19	75.1	64.7	51
SRR28636386.385047	A0A5S9Q0K5	AlkB	2.62e-20	78.2	66.7	51
SRR28636386.388137	A0A0P9CMX4	AlkB	1.05e-21	84.3	74.0	50
SRR28636386.388569	A0A0F9MT65	Cutinase_like	5.07e-20	79.7	70.0	50
SRR28636386.419490	A0A5N5E036	Cutinase_like	6.21e-07	42.7	52.0	50
SRR28636386.419681	A0A5N5E036	Cutinase_like	6.21e-07	42.7	52.0	50
SRR28636386.429843	A0A8H6D6M8	Cutinase_like	1.3e-10	53.1	46.0	50
SRR28636386.430944	A0AAW6QUD3	Cutinase_like	4.81e-10	51.2	52.7	55
SRR28636386.443103	A0A318LRJ6	AlkB	2.05e-15	66.6	62.0	50
SRR28636386.445279	Q5F4D8	AlkB	2.36e-19	77.8	72.0	50
SRR28636386.446407	A0A679JIX2	MHETase_like	6.62e-11	53.9	58.8	51
SRR28636386.448564	A0A0D1YDG7	Cutinase_like	6.22e-21	82.4	66.0	50
SRR28636386.457580	A0AAN5C2R9	Cutinase_like	2.78e-14	63.5	58.0	50
SRR28636386.466660	A0A0H0AG54	AlkB	3.34e-32	111	100.0	50
SRR28636386.468624	A0AAX3YY98	AlkB	7.85e-29	100	98.0	50
SRR28636386.473976	A0AAW6QUD3	Cutinase_like	2.52e-10	52.0	52.9	51
SRR28636386.509319	A0AAN5C2R9	Cutinase_like	1.97e-08	47.0	44.0	50
SRR28636386.509696	A0A0D1YDG7	Cutinase_like	3.66e-08	46.2	48.0	50
SRR28636386.511534	A0A178HXX9	AlkB	2.24e-26	96.3	98.0	50
SRR28636386.522178	A0A918W8F7	AlkB	1.33e-20	78.6	76.0	50
SRR28636386.556206	A0ABQ0YWN9	AlkB	5.81e-19	76.3	72.0	50
SRR28636386.558886	A0ABQ0YWN9	AlkB	5.81e-19	76.3	72.0	50
SRR28636386.560761	A0A922NQS1	Cutinase_like	1.77e-07	44.3	46.0	50
SRR28636386.564838	A0AAN5C2R9	Cutinase_like	5.2e-14	62.8	58.0	50
SRR28636386.566035	A0AAN5C2R9	Cutinase_like	5.2e-14	62.8	58.0	50
SRR28636386.574959	A0A0A1W922	Cutinase_like	3.77e-14	63.2	50.0	50
SRR28636386.595620	A0A0D1YDG7	Cutinase_like	2.97e-09	49.3	51.0	51
SRR28636386.609895	A0A9W9D218	Cutinase_like	1.89e-11	55.5	52.8	53
SRR28636386.610026	A0A9W9D218	Cutinase_like	1.89e-11	55.5	52.8	53
SRR28636386.611190	B6IQU7	AlkB	9.01e-24	89.4	76.0	50
SRR28636386.625348	A0ABQ3GCS7	AlkB	1.54e-21	83.2	86.0	50
