read_id	protein_id	family	evalue	bitscore	pident	aln_len
SRR28636381.621	A0A7Y4GT09	AlkB	1.36e-27	97.1	87.8	49
SRR28636381.650	A0A9P5AHW0	Cutinase_like	3e-06	40.8	43.9	41
SRR28636381.1961	A0A7C8IRU5	Cutinase_like	2.87e-06	40.8	57.6	33
SRR28636381.2398	A0ABQ1SA56	AlkB	6.64e-15	65.1	64.6	48
SRR28636381.2730	A0ABQ1SA56	AlkB	6.64e-15	65.1	64.6	48
SRR28636381.3969	A0A269PFP6	AlkB	2.95e-13	60.5	61.2	49
SRR28636381.6950	A0ABM8NWG4	MHETase_like	2.31e-07	43.9	42.2	45
SRR28636381.7390	A0AAN5C2R9	Cutinase_like	1.44e-08	47.4	46.5	43
SRR28636381.7594	A0ABR7MBV8	AlkB	3.28e-16	68.9	61.2	49
SRR28636381.8464	A0A0P9CMX4	AlkB	7.59e-09	48.1	55.1	49
SRR28636381.11261	A0A1X1UCC7	AlkB	9.98e-06	39.3	48.6	37
SRR28636381.11360	A0A4V1RKP6	Cutinase_like	1.9e-11	55.5	72.7	33
SRR28636381.13909	A0A4V1RKP6	Cutinase_like	1.9e-11	55.5	72.7	33
SRR28636381.14060	A0A8H6D6M8	Cutinase_like	5.39e-06	40.0	57.9	38
SRR28636381.18963	A0A922NQS1	Cutinase_like	1.69e-07	44.3	42.0	50
SRR28636381.19139	A0A0P9CMX4	AlkB	9.18e-14	62.0	59.0	39
SRR28636381.19249	A0A0P9CMX4	AlkB	9.18e-14	62.0	59.0	39
SRR28636381.23155	A0A3T1D4I6	AlkB	3.36e-22	85.1	72.0	50
SRR28636381.23634	A0A0G4NCV0	Cutinase_like	1.04e-14	64.7	62.5	48
SRR28636381.23913	A0A640TPP2	AlkB	6.64e-14	62.4	56.8	44
SRR28636381.24607	A0A316YF96	Cutinase_like	1.04e-08	47.8	50.0	42
SRR28636381.25702	A0A8H6D6M8	Cutinase_like	5.08e-11	54.3	53.1	49
SRR28636381.26698	A0A0G4NCV0	Cutinase_like	1.37e-08	47.4	60.6	33
SRR28636381.26898	A4FPF9	Cutinase_like	2.05e-06	41.2	48.6	35
SRR28636381.28591	A0A0U3Q917	AlkB	3.88e-17	71.2	74.5	51
SRR28636381.28592	A0A0U3Q917	AlkB	1.47e-17	72.4	74.5	51
SRR28636381.31045	Q5F4D8	AlkB	2.17e-06	41.2	61.3	31
SRR28636381.32514	A0A4Y3KFX9	Cutinase_like	1.45e-11	55.8	55.1	49
SRR28636381.33403	A0A158DL19	Cutinase_like	1.71e-11	53.9	48.0	50
SRR28636381.35633	A0A7C9TKJ7	Cutinase_like	1.31e-14	64.3	63.3	49
SRR28636381.35889	A0AAN5C2R9	Cutinase_like	1.24e-10	53.1	56.3	48
SRR28636381.37348	A0A508SWH9	MHETase_like	6.92e-11	53.9	71.4	35
SRR28636381.39305	A0A5J5GBP8	Cutinase_like	1.38e-23	86.7	69.4	49
SRR28636381.39911	A0A2T5MJ66	AlkB	3.17e-10	52.0	59.4	32
SRR28636381.42052	A0A1X0BAF1	AlkB	1.51e-06	41.6	44.7	47
SRR28636381.42241	A0ABQ1TYD3	AlkB	7.19e-10	50.4	57.9	38
SRR28636381.43241	A0AAN5C2R9	Cutinase_like	4.15e-12	57.4	60.0	45
SRR28636381.46148	A0ABQ5TAM8	AlkB	1.06e-12	58.9	69.0	42
SRR28636381.47078	A0AAN5C2R9	Cutinase_like	1.74e-13	61.2	58.3	48
SRR28636381.47197	A0A1V2ICM1	AlkB	3.14e-07	43.5	46.8	47
SRR28636381.47634	A0A0U2VV81	AlkB	8.09e-14	62.0	55.1	49
SRR28636381.47684	A0A0U2VV81	AlkB	4.47e-15	65.5	54.0	50
SRR28636381.52623	A0A1X0BAF1	AlkB	7.25e-09	48.1	51.1	45
SRR28636381.52635	A0A1X0BAF1	AlkB	7.25e-09	48.1	51.1	45
SRR28636381.52959	A0A9P5AHW0	Cutinase_like	7.73e-06	39.7	47.8	46
SRR28636381.54588	A0A7G9R817	Cutinase_like	2.56e-08	46.6	51.2	43
SRR28636381.56181	A0AAN5C2R9	Cutinase_like	1.24e-07	44.7	40.4	52
SRR28636381.60690	A0A5N5E036	Cutinase_like	1.38e-11	55.8	63.9	36
SRR28636381.60722	A0A5N5E036	Cutinase_like	1.38e-11	55.8	63.9	36
SRR28636381.63224	A0A922NQS1	Cutinase_like	2.19e-06	41.2	50.0	36
SRR28636381.63779	A0AAN5C2R9	Cutinase_like	7.39e-06	39.7	40.0	45
SRR28636381.63843	Q5F4D8	AlkB	2.96e-09	49.3	51.3	39
SRR28636381.64190	Q5F4D8	AlkB	2.96e-09	49.3	51.3	39
SRR28636381.66249	A0A316YF96	Cutinase_like	1.89e-11	55.5	68.6	35
SRR28636381.66375	A0A316YF96	Cutinase_like	2.11e-12	58.2	69.4	36
SRR28636381.66388	A0A316YF96	Cutinase_like	2.11e-12	58.2	69.4	36
SRR28636381.67566	A0A1X1UCC7	AlkB	4.29e-07	43.1	51.2	41
SRR28636381.67591	A0A1X1UCC7	AlkB	1.22e-07	44.7	47.7	44
SRR28636381.67856	A0A1B1UJ32	AlkB	1.16e-06	42.0	40.5	42
SRR28636381.69277	A0A382XFA1	Cutinase_like	4.29e-11	54.3	48.0	50
SRR28636381.71692	A0ABW3HCW7	AlkB	1.96e-08	47.0	45.1	51
SRR28636381.72890	A0A316YF96	Cutinase_like	2.85e-06	40.8	48.8	41
SRR28636381.73683	A0A922NQS1	Cutinase_like	8.53e-07	42.4	47.2	36
