protein_id	family
A0A0K8P6T7	PETase_like
E9LVH9	PETase_like
F7IX06	PETase_like
G8GER6	PETase_like
G9BY57	PETase_like
Q47RJ6	PETase_like
Q6A0I4	PETase_like
D4Q9N1	PETase_like
E9LVH8	PETase_like
Q47RJ7	PETase_like
A0A1N6XE42	PETase_like
A0A2P4UDA7	PETase_like
A0A2P4UDC3	PETase_like
A0A365HAJ8	PETase_like
A0A4V0ZKB9	PETase_like
A0A543NNU7	PETase_like
A0A5J5K4W0	PETase_like
A0A5N6AZJ9	PETase_like
A0A5N6B8J9	PETase_like
A0A7K1L1I6	PETase_like
A0A7W7RJC2	PETase_like
A0A7X0IJV2	PETase_like
A0A841IUE8	PETase_like
A0A8H9GXL4	PETase_like
A0A917R069	PETase_like
A0A919R7S7	PETase_like
A0A940WR16	PETase_like
A0A941ALA2	PETase_like
A0A0C2G8Q0	PETase_like
A0A147KJY8	PETase_like
A0A161LKE9	PETase_like
A0A1G7Z2H0	PETase_like
A0A1G8SHF7	PETase_like
A0A1H5T4B9	PETase_like
A0A1H5UML9	PETase_like
A0A1H6AWM6	PETase_like
A0A1H6C9P0	PETase_like
A0A1H6CN89	PETase_like
A0A1H6EII4	PETase_like
A0A1H6EZ24	PETase_like
A0A1H7U3G5	PETase_like
A0A1H8CDJ8	PETase_like
A0A1H8CEP3	PETase_like
A0A1I0JU31	PETase_like
A0A1I4AJK7	PETase_like
A0A1I4CKC4	PETase_like
A0A1I4D078	PETase_like
A0A1I5FBR0	PETase_like
A0A1I5RT09	PETase_like
A0A1M4E4K7	PETase_like
A0A1M6M213	PETase_like
A0A1N6SMU6	PETase_like
A0A1T4KK94	PETase_like
A0A1U9ZTE6	PETase_like
A0A1V0A5L2	PETase_like
A0A1V3C6I0	PETase_like
A0A238V211	PETase_like
A0A239AX86	PETase_like
A0A239F412	PETase_like
A0A239F952	PETase_like
A0A239NYM8	PETase_like
A0A243RG01	PETase_like
A0A243RI45	PETase_like
A0A243RTG5	PETase_like
A0A2C9ZMQ8	PETase_like
A0A2P4UD72	PETase_like
A0A2P4UDP6	PETase_like
A0A2P4UJS9	PETase_like
A0A2P4UNN9	PETase_like
A0A2P4UPT6	PETase_like
A0A2T0MSV4	PETase_like
A0A2T0PXG2	PETase_like
A0A2W2EN64	PETase_like
A0A365GXM3	PETase_like
A0A365H0G7	PETase_like
A0A365H682	PETase_like
A0A365H6K8	PETase_like
A0A365H6N6	PETase_like
A0A365H6Y8	PETase_like
A0A365H755	PETase_like
A0A366LTE2	PETase_like
A0A367F9K2	PETase_like
A0A3A4B4E3	PETase_like
A0A3D9SN04	PETase_like
A0A3D9SNA7	PETase_like
A0A3D9SP59	PETase_like
A0A3D9SPQ3	PETase_like
A0A3D9SRH8	PETase_like
A0A3D9SRX0	PETase_like
A0A3D9SUD5	PETase_like
