SRR23872596.1230	tr|A0A6L6XVY0|A0A6L6XVY0_9ACTN	2.15e-08	47.0	52.9	34
SRR23872596.1450	tr|G1C7H9|G1C7H9_9GAMM	6.09e-19	76.6	72.5	51
SRR23872596.1933	tr|A0AAN5C2R9|A0AAN5C2R9_ASPOZ	7.13e-07	42.7	52.9	34
SRR23872596.2698	tr|A0A8H5WTA5|A0A8H5WTA5_9HYPO	1.58e-11	55.8	52.9	51
SRR23872596.3040	tr|A0A318LRJ6|A0A318LRJ6_9PSEU	3.22e-09	49.3	59.5	37
SRR23872596.3692	tr|A0A0A6UP58|A0A0A6UP58_ACTUT	9.61e-23	86.7	82.0	50
SRR23872596.3979	tr|A9CMS7|A9CMS7_9ACTN	1.40e-07	44.7	61.1	36
SRR23872596.5228	tr|A0AAE6Y585|A0AAE6Y585_STRAT	3.13e-16	68.9	60.0	50
SRR23872596.5341	tr|A0AAE6Y585|A0AAE6Y585_STRAT	3.13e-16	68.9	60.0	50
SRR23872596.5561	tr|A0A0P9CMX4|A0A0P9CMX4_9BACL	2.15e-11	55.5	60.0	45
SRR23872596.5893	tr|A0AAE6Y585|A0AAE6Y585_STRAT	3.13e-16	68.9	60.0	50
SRR23872596.10952	tr|A0A922NQS1|A0A922NQS1_9PLEO	8.38e-09	48.1	49.0	49
SRR23872596.10967	tr|A0A1X0I552|A0A1X0I552_9MYCO	4.42e-12	57.4	56.0	50
SRR23872596.11380	tr|G1C7H9|G1C7H9_9GAMM	8.75e-19	76.3	71.2	52
SRR23872596.12733	tr|A0ABQ3GCS7|A0ABQ3GCS7_9BURK	1.71e-23	88.6	84.3	51
SRR23872596.13169	tr|A0A1E3LRC3|A0A1E3LRC3_9SPHN	3.24e-06	40.8	40.0	45
SRR23872596.16149	tr|A0A6L6XVY0|A0A6L6XVY0_9ACTN	7.11e-07	42.7	50.0	42
SRR23872596.16381	tr|A0A0P8X0D6|A0A0P8X0D6_PSEFL	1.51e-11	55.8	56.5	46
SRR23872596.16428	tr|A0A418YP29|A0A418YP29_9SPHN	1.72e-12	58.5	56.0	50
SRR23872596.16642	tr|A0A922NQS1|A0A922NQS1_9PLEO	2.65e-07	43.9	35.3	51
SRR23872596.17125	tr|A0ABV6E5N6|A0ABV6E5N6_9ACTN	2.49e-09	49.7	43.2	44
SRR23872596.17678	tr|A0A918KHB5|A0A918KHB5_9ACTN	1.01e-07	45.1	45.6	57
SRR23872596.18558	tr|A0A9P5AHW0|A0A9P5AHW0_9HYPO	1.94e-07	44.3	37.3	51
SRR23872596.19047	tr|A0AA37M8P3|A0AA37M8P3_9HYPH	6.08e-09	48.5	44.6	56
SRR23872596.21166	tr|A0A3N0VJU4|A0A3N0VJU4_9GAMM	2.71e-31	110	96.2	52
SRR23872596.21318	tr|A0A164J077|A0A164J077_9NOCA	2.93e-11	55.1	49.1	53
SRR23872596.22758	tr|A0A0P7Y412|A0A0P7Y412_9HYPH	1.70e-28	99.4	75.5	53
SRR23872596.23364	tr|A0A0P9CMX4|A0A0P9CMX4_9BACL	3.32e-15	66.2	62.0	50
SRR23872596.23418	tr|A0ABW3HCW7|A0ABW3HCW7_9GAMM	1.06e-13	62.0	50.0	52
SRR23872596.23434	tr|A0A0P9CMX4|A0A0P9CMX4_9BACL	3.32e-15	66.2	62.0	50
SRR23872596.26745	tr|H1VJR2|H1VJR2_COLHI	9.20e-07	42.4	40.0	50
SRR23872596.29798	tr|A0A1X0I552|A0A1X0I552_9MYCO	3.29e-22	85.5	69.2	52
SRR23872596.31421	tr|A0AAU8JSA4|A0AAU8JSA4_9ACTN	5.85e-17	71.2	89.5	38
SRR23872596.31723	tr|A0A096A6W6|A0A096A6W6_9CORY	1.90e-07	44.3	47.3	55
SRR23872596.31757	tr|A0A096A6W6|A0A096A6W6_9CORY	1.90e-07	44.3	47.3	55
SRR23872596.32293	tr|G1C7H9|G1C7H9_9GAMM	2.62e-10	52.4	52.4	42
SRR23872596.33991	tr|A0A679JQL4|A0A679JQL4_VARPD	7.44e-16	68.2	60.4	53
SRR23872596.37301	tr|A0ABT7S9X4|A0ABT7S9X4_9CELL	8.47e-06	39.7	54.3	35
SRR23872596.37538	tr|A0AAN5C2R9|A0AAN5C2R9_ASPOZ	1.15e-08	47.8	58.3	36
SRR23872596.38718	tr|A0A844AVT7|A0A844AVT7_9BURK	4.74e-27	98.2	77.4	53
SRR23872596.40942	tr|A0ABW3HCW7|A0ABW3HCW7_9GAMM	4.67e-06	40.4	50.0	36
SRR23872596.41454	tr|A0A2P6ATA5|A0A2P6ATA5_9GAMM	3.09e-20	80.5	75.6	45
SRR23872596.46013	tr|A0A9P5AHW0|A0A9P5AHW0_9HYPO	1.41e-07	44.7	57.8	45
SRR23872596.47334	tr|Q9AP11|Q9AP11_9BACI	2.13e-08	47.0	41.2	51
SRR23872596.47889	tr|C7EB02|C7EB02_9ZZZZ	6.03e-29	98.6	84.9	53
SRR23872596.52332	tr|A0ABQ2EJG7|A0ABQ2EJG7_9GAMM	3.19e-09	49.3	46.2	52
SRR23872596.52463	tr|B0SWF7|B0SWF7_CAUSK	8.71e-13	59.3	58.3	48
SRR23872596.53512	tr|G1C7H9|G1C7H9_9GAMM	8.91e-20	79.0	72.0	50
SRR23872596.53672	tr|A0ABM7Y2T5|A0ABM7Y2T5_9PROT	3.11e-31	109	90.6	53
SRR23872596.54193	tr|A0A517L0X3|A0A517L0X3_9PEZI	2.92e-19	77.8	75.6	45
SRR23872596.54567	tr|A0A316YF96|A0A316YF96_9BASI	2.01e-07	44.3	46.3	54
